pca1,pca2,region_name,geography_name,geography_code,region_code
-45448.28006269791,885.1100674377428,South West,West Dorset,E07000052,E12000009
-70520.19139494722,-2239.9437142445604,South West,Weymouth and Portland,E07000053,E12000009
-26138.74934889167,-3846.7724588129377,South West,Cheltenham,E07000078,E12000009
-51514.77448506565,843.000616666085,South West,Cotswold,E07000079,E12000009
-55630.196362247174,1872.4940742061726,South West,Forest of Dean,E07000080,E12000009
-21451.180053840162,2873.831605200853,South West,Gloucester,E07000081,E12000009
-28078.93018379046,239.05512872314387,South West,Stroud,E07000082,E12000009
-51962.321043813936,928.9968363234693,South West,Tewkesbury,E07000083,E12000009
-33469.165979612306,456.5080680271995,South West,Mendip,E07000187,E12000009
-31312.0480752082,3639.713089364772,South West,Sedgemoor,E07000188,E12000009
6872.325598111522,9584.594235798413,South West,South Somerset,E07000189,E12000009
-32340.34059514444,449.9890159958261,South West,Taunton Deane,E07000190,E12000009
-92934.73716611524,-3136.821157964424,South West,West Somerset,E07000191,E12000009
-69180.66929949181,-32.39446056185122,Wales,Isle of Anglesey,W06000001,W92000004
-32982.37840962918,-233.82281863547738,Wales,Gwynedd,W06000002,W92000004
-38230.47503273481,865.410022851976,Wales,Conwy,W06000003,W92000004
-52318.150507278304,1017.6813696468666,Wales,Denbighshire,W06000004,W92000004
-607.380956207641,9939.483206170238,Wales,Flintshire,W06000005,W92000004
-17291.481813425133,6532.534697038375,Wales,Wrexham,W06000006,W92000004
-17546.304972672628,3116.50510414703,Wales,Powys,W06000023,W92000004
-66654.13276033716,-2761.983965877736,Wales,Ceredigion,W06000008,W92000004
-32230.923597451216,2213.138963763806,Wales,Pembrokeshire,W06000009,W92000004
9225.343695102512,5593.951583845426,Wales,Carmarthenshire,W06000010,W92000004
41153.83460032259,-3151.8509127697157,Wales,Swansea,W06000011,W92000004
-25881.465806546046,92.11636103332275,Wales,Neath Port Talbot,W06000012,W92000004
-22715.880090545477,-2223.6568267334246,Wales,Bridgend,W06000013,W92000004
-26008.566725812747,-2643.812532760983,Wales,Vale of Glamorgan,W06000014,W92000004
124718.15643980313,-12101.073095766234,Wales,Cardiff,W06000015,W92000004
34439.266678136744,-5874.536846363436,Wales,Rhondda Cynon Taff,W06000016,W92000004
-78096.95339322941,-2727.7297772341913,Wales,Merthyr Tydfil,W06000024,W92000004
872.2925620936966,-4996.960585866616,Wales,Caerphilly,W06000018,W92000004
-73915.07066125235,-4484.999820420848,Wales,Blaenau Gwent,W06000019,W92000004
-55217.29426144775,-2721.463717988475,Wales,Torfaen,W06000020,W92000004
-50132.802882821314,-574.8550902969722,Wales,Monmouthshire,W06000021,W92000004
-17992.755193642522,-1246.0057077132806,Wales,Newport,W06000022,W92000004
