,date,geography,geography_code,Industry,value
2046,2011,Rutland,E06000017, O Public administration and defence; compulsory social security,3071
2054,2011,Amber Valley,E07000032, C Manufacturing,11540
2092,2011,Bolsover,E07000033, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6708
2119,2011,Chesterfield,E07000034, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10486
2146,2011,Derbyshire Dales,E07000035, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5368
2162,2011,Erewash,E07000036, C Manufacturing,8291
2189,2011,High Peak,E07000037, C Manufacturing,5787
2216,2011,North East Derbyshire,E07000038, C Manufacturing,5332
2243,2011,South Derbyshire,E07000039, C Manufacturing,7302
2281,2011,Blaby,E07000129, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11628
2308,2011,Charnwood,E07000130, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11890
2335,2011,Harborough,E07000131, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11674
2362,2011,Hinckley and Bosworth,E07000132, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7586
2378,2011,Melton,E07000133, C Manufacturing,4519
2416,2011,North West Leicestershire,E07000134, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9650
2443,2011,Oadby and Wigston,E07000135, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4578
2470,2011,Boston,E07000136, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6519
2497,2011,East Lindsey,E07000137, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9172
2524,2011,Lincoln,E07000138, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10608
2559,2011,North Kesteven,E07000139, O Public administration and defence; compulsory social security,7510
2578,2011,South Holland,E07000140, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8040
2605,2011,South Kesteven,E07000141, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10844
2632,2011,West Lindsey,E07000142, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4986
2648,2011,Corby,E07000150, C Manufacturing,8381
2686,2011,Daventry,E07000151, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7476
2713,2011,East Northamptonshire,E07000152, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5845
2740,2011,Kettering,E07000153, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8311
2767,2011,Northampton,E07000154, G Wholesale and retail trade; repair of motor vehicles and motor cycles,22856
2794,2011,South Northamptonshire,E07000155, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4504
2821,2011,Wellingborough,E07000156, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7431
2837,2011,Ashfield,E07000170, C Manufacturing,9756
2875,2011,Bassetlaw,E07000171, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9450
2902,2011,Broxtowe,E07000172, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7895
2929,2011,Gedling,E07000173, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6765
2956,2011,Mansfield,E07000174, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8131
2983,2011,Newark and Sherwood,E07000175, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8886
3010,2011,Rushcliffe,E07000176, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6667
3037,2011,"Herefordshire, County of",E06000019, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15079
3064,2011,Shropshire,E06000051, G Wholesale and retail trade; repair of motor vehicles and motor cycles,24083
3091,2011,Stoke-on-Trent,E06000021, G Wholesale and retail trade; repair of motor vehicles and motor cycles,21032
3107,2011,Telford and Wrekin,E06000020, C Manufacturing,15328
3145,2011,Cannock Chase,E07000192, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8365
3161,2011,East Staffordshire,E07000193, C Manufacturing,11365
3199,2011,Lichfield,E07000194, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8322
3226,2011,Newcastle-under-Lyme,E07000195, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10968
3253,2011,South Staffordshire,E07000196, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6231
3290,2011,Stafford,E07000197, Q Human health and social work activities,10857
3296,2011,Staffordshire Moorlands,E07000198, C Manufacturing,4922
3334,2011,Tamworth,E07000199, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7365
3361,2011,North Warwickshire,E07000218, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7847
3388,2011,Nuneaton and Bedworth,E07000219, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9172
3415,2011,Rugby,E07000220, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7631
3442,2011,Stratford-on-Avon,E07000221, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10380
3469,2011,Warwick,E07000222, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12553
3506,2011,Birmingham,E08000025, Q Human health and social work activities,73766
3523,2011,Coventry,E08000026, G Wholesale and retail trade; repair of motor vehicles and motor cycles,25184
3550,2011,Dudley,E08000027, G Wholesale and retail trade; repair of motor vehicles and motor cycles,23188
3577,2011,Sandwell,E08000028, G Wholesale and retail trade; repair of motor vehicles and motor cycles,23418
3604,2011,Solihull,E08000029, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15811
3631,2011,Walsall,E08000030, G Wholesale and retail trade; repair of motor vehicles and motor cycles,21049
3658,2011,Wolverhampton,E08000031, G Wholesale and retail trade; repair of motor vehicles and motor cycles,17888
3685,2011,Bromsgrove,E07000234, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5796
3712,2011,Malvern Hills,E07000235, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4806
3728,2011,Redditch,E07000236, C Manufacturing,8338
3776,2011,Worcester,E07000237, Q Human health and social work activities,9053
3793,2011,Wychavon,E07000238, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9638
3820,2011,Wyre Forest,E07000239, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7599
3847,2011,Bedford,E06000055, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13379
3874,2011,Central Bedfordshire,E06000056, G Wholesale and retail trade; repair of motor vehicles and motor cycles,17088
3901,2011,Luton,E06000032, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12745
3928,2011,Peterborough,E06000031, G Wholesale and retail trade; repair of motor vehicles and motor cycles,19031
3965,2011,Southend-on-Sea,E06000033, Q Human health and social work activities,11848
3982,2011,Thurrock,E06000034, G Wholesale and retail trade; repair of motor vehicles and motor cycles,17697
4018,2011,Cambridge,E07000008, P Education,21616
4036,2011,East Cambridgeshire,E07000009, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4758
4063,2011,Fenland,E07000010, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6675
4090,2011,Huntingdonshire,E07000011, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11935
